year,m1,m2,gamma1_realized,gamma2_realized,n_papers,tau_mean,tau_sd,tau_min,tau_max,full_tau_mean,overlap_fraction_mean,jaccard_mean,theorem3_z_mean
2023,242,242,0.1,0.1,2420,0.18232548356186304,0.014481260212621676,0.15236490920237236,0.2249059303857888,0.3583545553623347,0.26892561983471075,0.1554224727290108,9.43258280063943
2023,484,484,0.2,0.2,2420,0.24150343008416278,0.012187506721073644,0.20774069892116026,0.26482147431943903,0.3583545553623347,0.4033471074380165,0.2526816787421444,13.146341941054432
2023,484,726,0.2,0.3,2420,0.2543069567625222,0.012078107955896302,0.2243574990614366,0.27619761535542875,0.3583545553623347,0.5445867768595041,0.2785602011261849,14.200411366914791
2023,726,484,0.3,0.2,2420,0.2543436437612281,0.011079456586164844,0.2277129005728073,0.27828866267410907,0.3583545553623347,0.5441735537190082,0.2782824912601268,14.202459956068914
2023,726,726,0.3,0.3,2420,0.27399870999632286,0.008497999144184492,0.25489963624039613,0.28888245896401854,0.3583545553623347,0.5031404958677687,0.3361601052338382,15.694672825057323
2024,535,535,0.1,0.1,5350,0.23493958887331867,0.011338429742617121,0.2138962142360613,0.2636525468301169,0.348901265150443,0.3159626168224299,0.187671622361675,18.072101811759893
2024,1070,1070,0.2,0.2,5350,0.2955422278688891,0.008319200174324158,0.27998792588199783,0.31881165055328387,0.348901265150443,0.44353271028037383,0.2849869244066636,23.92050651929746
2024,1070,1605,0.2,0.3,5350,0.3057964109807659,0.00872783023051164,0.28765048770500984,0.3247346610348244,0.348901265150443,0.5883364485981308,0.30779260609930265,25.38892289536198
2024,1605,1070,0.3,0.2,5350,0.305552197097767,0.008449262257699347,0.2859825463523785,0.3233912726587978,0.348901265150443,0.58803738317757,0.3075859416618442,25.36864689727047
2024,1605,1605,0.3,0.3,5350,0.3372793262751723,0.008724767707231035,0.3226190696409326,0.35663019744626384,0.348901265150443,0.5543426791277258,0.3834909394363379,28.72517467602499
