dataset,omitted_detector,method,m,trc,within_component_over_total,boundary_component_over_total,within_pair_average,boundary_pair_average,within_numerator,boundary_numerator,comparable_pairs,oracle_normalized_trc,full_kendall_tau_b,top_only_kendall_tau_b,ndcg_at_m,ap_pathological,ap_abnormal,auc_pathological,precision_pathological_at_m,precision_abnormal_at_m,pathological_recall_at_m,abnormal_recall_at_m
UCI Cardiotocography (ordinal),PCA reconstruction,Rank product,213,0.29373766123237693,0.005197106362792904,0.288540554869584,0.09899016741961202,0.30452868807197603,2235.0,124086.0,430047,0.3123394364978303,0.18547940602892307,0.13264191894966962,0.5040051356930336,0.39030643879887145,0.37383453968314023,0.8522698135198136,0.37089201877934275,0.4507042253521127,0.44886363636363635,0.20382165605095542
UCI Cardiotocography (ordinal),PCA reconstruction,Best-rank fusion,213,0.25855080956267573,0.004883187186516823,0.25366762237615886,0.09301089556205155,0.2677234341753606,2100.0,109089.0,430047,0.27492427707789885,0.2317655248439162,0.12567877510057227,0.4580069880440245,0.360581751253051,0.3841888725403,0.8592744755244754,0.3380281690140845,0.4225352112676056,0.4090909090909091,0.1910828025477707
UCI Cardiotocography (ordinal),HBOS,Borda mean rank,213,0.3161910209814276,0.002941538948068467,0.3132494820333591,0.05602799185047391,0.3306067455438328,1265.0,134712.0,430047,0.3362147192997639,0.17468281418274706,0.07507473264936558,0.5180935635059757,0.3853631996267783,0.36268285396209926,0.836958041958042,0.39906103286384975,0.4694835680751174,0.48295454545454547,0.21231422505307856
UCI Cardiotocography (ordinal),HBOS,Median rank,213,0.31623520219882945,0.002832248568179757,0.3134029536306497,0.0539463194259899,0.33076872105608035,1218.0,134778.0,430047,0.3362616984187818,0.1727885216420149,0.07128065896925494,0.46291768564301733,0.341795321367297,0.3556550880919924,0.8491899766899766,0.38028169014084506,0.47417840375586856,0.4602272727272727,0.21443736730360935
UCI Cardiotocography (ordinal),HBOS,Reciprocal-rank fusion,213,0.297132638990622,0.0051529251453910855,0.29197971384523086,0.09814864026928868,0.3081584120509781,2216.0,125565.0,430047,0.3159494109065734,0.20536509952662443,0.13069067436751589,0.5032689039202609,0.3925603917281235,0.38083132714208645,0.8500874125874126,0.36619718309859156,0.45539906103286387,0.4431818181818182,0.2059447983014862
UCI Cardiotocography (ordinal),HBOS,Rank product,213,0.3129960213651066,0.0041274558362225525,0.30886856552888403,0.07861635220125786,0.3259830809214934,1775.0,132828.0,430047,0.33281738721920706,0.1922758007609644,0.10425335106653096,0.513877007822019,0.39127839317339125,0.3745936042867771,0.8460926573426573,0.38028169014084506,0.4694835680751174,0.4602272727272727,0.21231422505307856
UCI Cardiotocography (ordinal),HBOS,Best-rank fusion,213,0.23289779954284068,0.00753173490339428,0.2253660646394464,0.14345823367880237,0.23785367721225417,3239.0,96918.0,430047,0.2476467170249855,0.22568423284296787,0.19878472918972073,0.4480156327692841,0.35262914034563114,0.37734019391705076,0.8449504662004663,0.3333333333333333,0.39436619718309857,0.4034090909090909,0.17834394904458598
UCI Cardiotocography (ordinal),Robust diagonal distance,Borda mean rank,213,0.36639018525882056,0.0024741481745018568,0.3639160370843187,0.04712552041810612,0.3840807521553787,1064.0,156501.0,430047,0.3895928888449318,0.12254160933276367,0.06272085017496745,0.5568880495615526,0.3905977578678367,0.35268425423275707,0.8179020979020979,0.4413145539906103,0.5117370892018779,0.5340909090909091,0.23142250530785563
UCI Cardiotocography (ordinal),Robust diagonal distance,Median rank,213,0.38620429859992045,0.005245938234658072,0.3809583603652624,0.09992027637523253,0.40206739653814155,2256.0,163830.0,430047,0.41066178743184933,0.12930443801824348,0.13087853237163896,0.5753989672652208,0.4252094836774375,0.37369687549817926,0.8313344988344988,0.43661971830985913,0.5305164319248826,0.5284090909090909,0.23991507430997877
UCI Cardiotocography (ordinal),Robust diagonal distance,Reciprocal-rank fusion,213,0.3434392054821915,0.006422553813885459,0.337016651668306,0.1223314731154221,0.35569086237235226,2762.0,144933.0,430047,0.36518847280774414,0.13816441491715328,0.16137787524194297,0.5443179270594685,0.4138857240113752,0.37074921818207424,0.8266491841491841,0.40375586854460094,0.49295774647887325,0.48863636363636365,0.2229299363057325
UCI Cardiotocography (ordinal),Robust diagonal distance,Rank product,213,0.36058616848856057,0.004490206884363802,0.35609596160419676,0.08552573301443883,0.37582736355403723,1931.0,153138.0,430047,0.3834213161571081,0.13212544532273907,0.11320448287516786,0.5599200600028541,0.4159945771914037,0.36853496007780606,0.8244522144522145,0.4272300469483568,0.5070422535211268,0.5170454545454546,0.22929936305732485
