year,n_papers,m1,m2,gamma1_realized,gamma2_realized,reps,tau_mean,tau_sd_empirical,tau_se_theory,sd_ratio_empirical_to_theory,z_mean,z_sd,tail_abs_gt_1_96,z_q025,z_q975
2023,2420,242,242,0.1,0.1,1000,-0.0006181501769929005,0.01931718873648947,0.019329327652390527,0.9993719949229813,-0.0319799109472104,0.9993719949229817,0.047,-1.9047196566184497,1.9605713557436177
2023,2420,726,726,0.3,0.3,1000,0.00030608920583060213,0.01752491022132055,0.017458070840372687,1.003828566257922,0.017532819555454843,1.003828566257922,0.052,-1.9826948424916866,1.907586167458364
2023,2420,484,726,0.2,0.3,1000,0.0002966329592239192,0.0182455619055843,0.017908421819034487,1.0188257843129132,0.016563880515067738,1.0188257843129132,0.06,-2.0435667275408287,2.0209674772405366
2024,5350,535,535,0.1,0.1,1000,-7.322600933476043e-05,0.013251193239671003,0.013000125349030438,1.0193127284468293,-0.005632715636870506,1.0193127284468293,0.051,-1.9902491082336642,1.933991125863573
2024,5350,1605,1605,0.3,0.3,1000,-6.326227898713818e-05,0.011129663927528156,0.011741593570070687,0.9478835952811092,-0.005387878451898863,0.9478835952811092,0.039,-1.6887269313286062,1.9214771676749438
2024,5350,1070,1605,0.2,0.3,1000,7.683033343558004e-05,0.0120053895523423,0.012044481455202989,0.9967543722819382,0.006378882621168437,0.9967543722819383,0.051,-1.999377729464806,1.9152226557110428
