dataset,method,kind,m,primary_depth,trc,within_component_over_total,boundary_component_over_total,within_pair_average,boundary_pair_average,within_numerator,boundary_numerator,comparable_pairs,oracle_normalized_trc,full_kendall_tau_b,top_only_kendall_tau_b,ndcg_at_m,ap_pathological,ap_abnormal,auc_pathological,precision_pathological_at_m,precision_abnormal_at_m,pathological_recall_at_m,abnormal_recall_at_m
UCI Cardiotocography (ordinal),Base: HBOS,base,213,True,0.36986189881571085,0.007041090857510923,0.36282080795819993,0.13411285321994862,0.3829248359997938,3028.0,156030.0,430047,0.39328445856565336,0.10193789431731178,0.17795138882114764,0.5697250917871521,0.425752827906803,0.35787134338239396,0.8130477855477856,0.43661971830985913,0.5117370892018779,0.5284090909090909,0.23142250530785563
UCI Cardiotocography (ordinal),Base: HBOS,base,425,False,0.19645521355431875,0.023969742627840473,0.17248547092647828,0.2162930077691454,0.1939827782965038,19488.0,140235.0,813025,0.21147101463666515,0.10193789431731178,0.3054576372378281,0.48660831725644843,0.425752827906803,0.35787134338239396,0.8130477855477856,0.25882352941176473,0.34823529411764703,0.625,0.31422505307855625
UCI Cardiotocography (ordinal),Base: Robust diagonal distance,base,176,False,0.19615170105967653,-0.004001673173452315,0.20015337423312884,-0.09318181818181819,0.2091346153846154,-1435.0,71775.0,358600,0.20495337995337995,0.30247021283574316,-0.12833356830214132,0.3078265534177842,0.264787482945692,0.3823810409999411,0.858761655011655,0.2897727272727273,0.3806818181818182,0.2897727272727273,0.14225053078556263
UCI Cardiotocography (ordinal),Base: Robust diagonal distance,base,213,True,0.2101374965992089,-0.004276276779049732,0.21441377337825865,-0.081450969970768,0.22629451565640576,-1839.0,92208.0,430047,0.22344505297513814,0.30247021283574316,-0.11062824618962201,0.3377720776094024,0.264787482945692,0.3823810409999411,0.858761655011655,0.2863849765258216,0.39436619718309857,0.3465909090909091,0.17834394904458598
UCI Cardiotocography (ordinal),Base: Robust diagonal distance,base,425,False,0.3008825066879862,-0.009148550167584023,0.31003105685557025,-0.0825527192008879,0.3486710239651416,-7438.0,252063.0,813025,0.32388007334882396,0.30247021283574316,-0.10627279430527123,0.4823774059768368,0.264787482945692,0.3823810409999411,0.858761655011655,0.30117647058823527,0.47294117647058825,0.7272727272727273,0.4267515923566879
UCI Cardiotocography (ordinal),Borda mean rank,aggregate,176,False,0.3244562186279978,0.004277746793084216,0.32017847183491355,0.09961038961038961,0.33454545454545453,1534.0,114816.0,358600,0.33901515151515155,0.16264135982713765,0.13335762886582558,0.5002622879606371,0.3928209672280254,0.3599642246791295,0.8369609557109556,0.4090909090909091,0.4772727272727273,0.4090909090909091,0.17834394904458598
UCI Cardiotocography (ordinal),Borda mean rank,aggregate,213,True,0.34041162942655107,0.0024532202294167845,0.33795840919713427,0.046726902294268756,0.35668480301568956,1055.0,145338.0,430047,0.36196916686241304,0.16264135982713765,0.06275161472509978,0.5399182956675636,0.3928209672280254,0.3599642246791295,0.8369609557109556,0.4272300469483568,0.48826291079812206,0.5170454545454546,0.2208067940552017
UCI Cardiotocography (ordinal),Borda mean rank,aggregate,425,False,0.2142541742258848,0.018444697272531594,0.1958094769533532,0.16643729189789122,0.2202137151156759,14996.0,159198.0,813025,0.23063041593019945,0.16264135982713765,0.2303257282830049,0.4895960217681688,0.3928209672280254,0.3599642246791295,0.8369609557109556,0.26588235294117646,0.36941176470588233,0.6420454545454546,0.3333333333333333
UCI Cardiotocography (ordinal),Median rank,aggregate,176,False,0.3646793084216397,0.0024958170663692135,0.3621834913552705,0.058116883116883115,0.37843531468531466,895.0,129879.0,358600,0.38104312354312353,0.1624107756811934,0.07629839397583407,0.5309654392691096,0.4137801723049736,0.3776909904152502,0.8478613053613053,0.42613636363636365,0.5170454545454546,0.42613636363636365,0.1932059447983015
UCI Cardiotocography (ordinal),Median rank,aggregate,213,True,0.3568330903366376,0.002927586984678419,0.3539055033519592,0.05576224643458234,0.37351553124286757,1259.0,152196.0,430047,0.37943056362579897,0.1624107756811934,0.07339967270446436,0.5528251742568999,0.4137801723049736,0.3776909904152502,0.8478613053613053,0.41784037558685444,0.5070422535211268,0.5056818181818182,0.22929936305732485
